,id,title,release_date,vote_average
5414,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5415,346,Seven Samurai,1954-04-26,8.5
5416,769,GoodFellas,1990-09-12,8.458
5417,12477,Grave of the Fireflies,1988-04-16,8.453
5418,157336,Interstellar,2014-11-05,8.4
5419,637,Life Is Beautiful,1997-12-20,8.448
5420,278,The Shawshank Redemption,1994-09-23,8.708
5421,238,The Godfather,1972-03-14,8.689
5422,240,The Godfather Part II,1974-12-20,8.6
5423,424,Schindler's List,1993-12-15,8.567
5424,389,12 Angry Men,1957-04-10,8.546
5425,129,Spirited Away,2001-07-20,8.5
5426,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5427,155,The Dark Knight,2008-07-16,8.519
5428,497,The Green Mile,1999-12-10,8.506
5429,496243,Parasite,2019-05-30,8.5
5430,680,Pulp Fiction,1994-09-10,8.488
5431,372058,Your Name.,2016-08-26,8.486
5432,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5433,13,Forrest Gump,1994-06-23,8.469
5434,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5435,346,Seven Samurai,1954-04-26,8.5
5436,769,GoodFellas,1990-09-12,8.458
5437,12477,Grave of the Fireflies,1988-04-16,8.453
5438,157336,Interstellar,2014-11-05,8.4
5439,637,Life Is Beautiful,1997-12-20,8.448
5440,278,The Shawshank Redemption,1994-09-23,8.708
5441,238,The Godfather,1972-03-14,8.689
5442,240,The Godfather Part II,1974-12-20,8.6
5443,424,Schindler's List,1993-12-15,8.567
5444,389,12 Angry Men,1957-04-10,8.546
5445,129,Spirited Away,2001-07-20,8.5
5446,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5447,155,The Dark Knight,2008-07-16,8.519
5448,497,The Green Mile,1999-12-10,8.506
5449,496243,Parasite,2019-05-30,8.5
5450,680,Pulp Fiction,1994-09-10,8.488
5451,372058,Your Name.,2016-08-26,8.486
5452,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5453,13,Forrest Gump,1994-06-23,8.469
5454,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5455,346,Seven Samurai,1954-04-26,8.5
5456,769,GoodFellas,1990-09-12,8.458
5457,12477,Grave of the Fireflies,1988-04-16,8.453
5458,157336,Interstellar,2014-11-05,8.4
5459,637,Life Is Beautiful,1997-12-20,8.448
5460,278,The Shawshank Redemption,1994-09-23,8.708
5461,238,The Godfather,1972-03-14,8.689
5462,240,The Godfather Part II,1974-12-20,8.6
5463,424,Schindler's List,1993-12-15,8.567
5464,389,12 Angry Men,1957-04-10,8.546
5465,129,Spirited Away,2001-07-20,8.5
5466,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5467,155,The Dark Knight,2008-07-16,8.519
5468,497,The Green Mile,1999-12-10,8.506
5469,496243,Parasite,2019-05-30,8.5
5470,680,Pulp Fiction,1994-09-10,8.488
5471,372058,Your Name.,2016-08-26,8.486
5472,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5473,13,Forrest Gump,1994-06-23,8.469
5474,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5475,346,Seven Samurai,1954-04-26,8.5
5476,769,GoodFellas,1990-09-12,8.458
5477,12477,Grave of the Fireflies,1988-04-16,8.453
5478,157336,Interstellar,2014-11-05,8.4
5479,637,Life Is Beautiful,1997-12-20,8.448
5480,278,The Shawshank Redemption,1994-09-23,8.708
5481,238,The Godfather,1972-03-14,8.689
5482,240,The Godfather Part II,1974-12-20,8.6
5483,424,Schindler's List,1993-12-15,8.567
5484,389,12 Angry Men,1957-04-10,8.546
5485,129,Spirited Away,2001-07-20,8.5
5486,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5487,155,The Dark Knight,2008-07-16,8.519
5488,497,The Green Mile,1999-12-10,8.506
5489,496243,Parasite,2019-05-30,8.5
5490,680,Pulp Fiction,1994-09-10,8.488
5491,372058,Your Name.,2016-08-26,8.486
5492,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5493,13,Forrest Gump,1994-06-23,8.469
5494,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5495,346,Seven Samurai,1954-04-26,8.5
5496,769,GoodFellas,1990-09-12,8.458
5497,12477,Grave of the Fireflies,1988-04-16,8.453
5498,157336,Interstellar,2014-11-05,8.4
5499,637,Life Is Beautiful,1997-12-20,8.448
5500,278,The Shawshank Redemption,1994-09-23,8.708
5501,238,The Godfather,1972-03-14,8.689
5502,240,The Godfather Part II,1974-12-20,8.6
5503,424,Schindler's List,1993-12-15,8.567
5504,389,12 Angry Men,1957-04-10,8.546
5505,129,Spirited Away,2001-07-20,8.5
5506,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5507,155,The Dark Knight,2008-07-16,8.519
5508,497,The Green Mile,1999-12-10,8.506
5509,496243,Parasite,2019-05-30,8.5
5510,680,Pulp Fiction,1994-09-10,8.488
5511,372058,Your Name.,2016-08-26,8.486
5512,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5513,13,Forrest Gump,1994-06-23,8.469
5514,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5515,346,Seven Samurai,1954-04-26,8.5
5516,769,GoodFellas,1990-09-12,8.458
5517,12477,Grave of the Fireflies,1988-04-16,8.453
5518,157336,Interstellar,2014-11-05,8.4
5519,637,Life Is Beautiful,1997-12-20,8.448
